,description,Accuracy,Wrong disadvantage,Recall,sensitivity,specificity,piatetsky_shapiro,WRAcc_score,WRAcc_score_optimistic,demographic_parity_difference,equalized_odds_difference,demographic_parity_subgroup,equalized_odds_subgroup,true_positive_subgroup,false_positive_subgroup,weighted_dpd_subgroup,weighted_eod_subgroup,weighted_tp_subgroup,weighted_fp_subgroup
0,"{'Age': '>=25.5', 'Checking account': 'unknown', 'Credit amount': '<3913.5', 'Duration': '<15.5', 'Housing': 'own'}",0.9561,0.0,1.0,0.1557,0.9833,29.2,0.0292,31.2658,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0226,0.012,-0.012,-0.002
0,"{'Checking account': 'unknown', 'Credit amount': '<3913.5', 'Duration': '<15.5', 'Job': 2}",0.9636,0.0,1.0,0.1514,0.9867,29.0,0.029,30.6436,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0218,0.0116,-0.0116,-0.0016
0,"{'Age': '>=25.5', 'Checking account': 'unknown', 'Duration': '<15.5', 'Housing': 'own'}",0.9417,0.0,1.0,0.1614,0.9767,29.0,0.029,31.9225,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0238,0.0124,-0.0124,-0.0028
0,"{'Age': '>=25.5', 'Credit amount': '<3913.5', 'Duration': '<15.5', 'Job': 2}",0.8516,0.0043,0.995,0.2271,0.91,28.8,0.0288,40.7758,0.02,0.025,0.193,0.3979,-0.1047,-0.3979,0.0359,0.0166,-0.0166,-0.0107
0,"{'Age': '>=25.5', 'Checking account': 'unknown', 'Purpose': 'radio/TV'}",0.9554,0.0,1.0,0.1529,0.9833,28.6,0.0286,30.667,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0222,0.0117,-0.0117,-0.002
0,"{'Age': '>=25.5', 'Credit amount': '<3913.5', 'Purpose': 'radio/TV'}",0.8465,0.0335,0.9608,0.2257,0.91,28.5,0.0285,40.4822,0.1049,0.2614,0.1389,0.2276,-0.0705,-0.2276,0.0257,0.0111,-0.0111,-0.0061
0,"{'Checking account': 'unknown', 'Duration': '>=15.5', 'Housing': 'own'}",0.8632,0.0,1.0,0.2143,0.92,28.2,0.0282,38.7931,0.005,0.0222,0.1973,0.397,-0.1097,-0.397,0.0343,0.0165,-0.0165,-0.0095
0,"{'Checking account': 'unknown', 'Credit amount': '<3913.5', 'Purpose': 'radio/TV'}",0.9545,0.0,1.0,0.15,0.9833,28.0,0.028,30.0682,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0218,0.0115,-0.0115,-0.002
0,{'Housing': 'own'},0.7731,0.0623,0.9157,0.7529,0.38,27.9,0.0279,116.8565,0.0713,0.1072,0.0399,0.0394,-0.0255,-0.0365,0.0285,0.0134,-0.0134,-0.0068
0,"{'Age': '>=25.5', 'Duration': '<15.5', 'Job': 2}",0.849,0.0041,0.9952,0.2357,0.8967,27.8,0.0278,41.6709,0.03,0.0724,0.1831,0.3344,-0.1049,-0.3344,0.0359,0.0173,-0.0173,-0.0104
0,"{'Checking account': 'unknown', 'Housing': 'own', 'Saving accounts': 'little'}",0.8779,0.0,1.0,0.1929,0.9367,27.2,0.0272,35.5032,0.0044,0.0333,0.1971,0.3948,-0.1097,-0.3948,0.0304,0.0148,-0.0148,-0.0075
0,"{'Age': '>=25.5', 'Checking account': 'unknown', 'Housing': 'own', 'Saving accounts': 'little'}",0.8929,0.0,1.0,0.1786,0.95,27.0,0.027,33.4821,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0278,0.0137,-0.0137,-0.0061
0,"{'Age': '>=25.5', 'Purpose': 'radio/TV'}",0.8333,0.0343,0.9584,0.2543,0.8733,26.8,0.0268,44.0056,0.1152,0.2343,0.1206,0.158,-0.0681,-0.158,0.0261,0.0121,-0.0121,-0.006
0,"{'Credit amount': '<3913.5', 'Duration': '<15.5', 'Job': 2}",0.8016,0.022,0.9727,0.2829,0.8433,26.5,0.0265,48.0049,0.1046,0.1726,0.1608,0.3245,-0.0824,-0.3245,0.0394,0.0165,-0.0163,-0.0153
