,description,Accuracy,Wrong disadvantage,Recall,sensitivity,specificity,piatetsky_shapiro,WRAcc_score,WRAcc_score_optimistic,demographic_parity_difference,equalized_odds_difference,demographic_parity_subgroup,equalized_odds_subgroup,true_positive_subgroup,false_positive_subgroup,weighted_dpd_subgroup,weighted_eod_subgroup,weighted_tp_subgroup,weighted_fp_subgroup
0,"{'Age': '>=25.5', 'Duration': '>=15.5'}",0.7039,0.109,0.8351,0.44,0.4733,-18.2,-0.0182,61.0712,0.1001,0.142,0.0625,0.0617,0.0552,0.0428,0.0291,0.017,0.017,0.0068
0,"{'Age': '>=25.5', 'Checking account': 'little', 'Credit amount': '<3913.5'}",0.6054,0.1342,0.7701,0.1243,0.7933,-17.3,-0.0173,15.2396,0.1334,0.2625,0.098,0.1512,0.1202,-0.0311,0.0146,0.0119,0.0105,-0.0019
0,"{'Checking account': 'moderate', 'Credit amount': '>=3913.5', 'Duration': '>=15.5'}",0.6765,0.1901,0.615,0.0571,0.8633,-16.7,-0.0167,5.9259,0.3081,0.3167,0.3646,0.3313,0.2753,0.3313,0.0295,0.0136,0.011,0.0136
0,"{'Credit amount': '>=3913.5', 'Housing': 'own'}",0.7172,0.1349,0.7765,0.1457,0.7767,-16.3,-0.0163,18.4686,0.1578,0.2143,0.185,0.2215,0.1138,0.2215,0.0313,0.0148,0.0116,0.0148
0,"{'Credit amount': '>=3913.5', 'Duration': '>=15.5', 'Housing': 'own'}",0.7211,0.1474,0.7591,0.1329,0.8033,-13.4,-0.0134,17.0704,0.1533,0.2235,0.2055,0.2557,0.1311,0.2557,0.0312,0.0151,0.0122,0.0151
0,"{'Age': '>=25.5', 'Checking account': 'moderate', 'Duration': '>=15.5'}",0.6515,0.1061,0.8228,0.1129,0.8233,-13.4,-0.0134,14.1841,0.1799,0.1908,0.0668,0.0675,0.0675,-0.0091,0.0088,0.0053,0.0053,-0.0005
0,"{'Age': '<25.5', 'Credit amount': '<3913.5'}",0.684,0.1133,0.8152,0.1314,0.8067,-13.0,-0.013,16.928,0.19,0.2394,0.0989,0.0838,0.0751,0.0705,0.0148,0.0069,0.0069,0.0041
0,"{'Age': '<25.5', 'Checking account': 'little', 'Credit amount': '<3913.5'}",0.6259,0.263,0.432,0.0357,0.9033,-12.8,-0.0128,3.4722,0.4123,0.5103,0.4905,0.4583,0.4583,0.3878,0.0265,0.0119,0.0115,0.0112
0,"{'Checking account': 'moderate', 'Purpose': 'business'}",0.6247,0.1136,0.7909,0.0629,0.8767,-12.7,-0.0127,7.1704,0.2127,0.1863,0.1102,0.0994,0.0994,0.0217,0.0089,0.0044,0.0044,0.0008
0,"{'Duration': '>=15.5', 'Purpose': 'business'}",0.7068,0.1487,0.7653,0.1729,0.7667,-12.7,-0.0127,22.9963,0.0977,0.0644,0.1723,0.2004,0.125,0.2004,0.0329,0.0153,0.0151,0.014
0,"{'Credit amount': '<3913.5', 'Duration': '>=15.5', 'Housing': 'free'}",0.6759,0.1345,0.7214,0.04,0.9,-12.6,-0.0126,4.0552,0.1439,0.25,0.2637,0.2324,0.1689,0.228,0.0153,0.0069,0.0047,0.0068
0,"{'Checking account': 'moderate', 'Duration': '>=15.5', 'Housing': 'own'}",0.6953,0.1065,0.819,0.09,0.8533,-11.9,-0.0119,11.128,0.2229,0.2567,0.1212,0.1128,0.0712,0.1128,0.013,0.0053,0.0045,0.005
0,"{'Age': '<25.5', 'Credit amount': '<3913.5', 'Duration': '>=15.5'}",0.6925,0.1642,0.6857,0.05,0.8933,-11.9,-0.0119,5.4851,0.1833,0.1943,0.3001,0.2947,0.2046,0.2947,0.0201,0.0095,0.0072,0.0094
0,"{'Duration': '>=15.5', 'Purpose': 'car'}",0.6481,0.1558,0.7344,0.0871,0.8567,-11.8,-0.0118,10.7337,0.1439,0.2609,0.1747,0.1766,0.1559,0.1202,0.0182,0.0095,0.0095,0.0052
0,"{'Checking account': 'little', 'Duration': '>=15.5', 'Purpose': 'car'}",0.5083,0.3208,0.3,0.0314,0.9133,-11.6,-0.0116,3.025,0.2739,0.4556,0.4933,0.5903,0.5903,0.2793,0.0237,0.013,0.013,0.0073
0,"{'Credit amount': '<3913.5', 'Duration': '>=15.5'}",0.7119,0.0911,0.8634,0.32,0.6267,-11.2,-0.0112,44.8,0.1698,0.2875,0.03,0.048,0.0269,0.0036,0.0101,0.0068,0.006,0.0004
